name,old_price,new_price
Coles Sausages 550g,6.6,4.5
Pringles Potato Crisps 118g-134g,5.5,2.75
KB's Salt and Pepper Squid 360g or Whiting Bites 300g,10.5,5.25
Zooper Dooper Water Ice 24 Pack,7.0,3.5
Nivea Sun Protect & Moisture Sunscreen SPF50+ 300mL-400mL^,26.0,13.0
Cancer Council Kids or Ultra Sunscreen SPF50+ 250mL^,21.0,10.5
Bondi Sands Wet Skin Sport Sunscreen SPF50 125mL^,18.0,9.0
Nescafé Coffee Sachets 8 Pack-10 Pack,7.6,3.8
Dynamo Professional Laundry Liquid 2 Litre,29.0,14.5
Cheezels 125g,3.25,1.62
"Pepsi, Solo or Schweppes Soft Drink or Schweppes Sparkling Water 10x375mL",16.5,8.25
Coca-Cola Soft Drink 24x375mL,36.7,22.0
"Coca-Cola, Fanta or Sprite Soft Drink 12x300mL",19.0,9.5
Banana Boat Pure Aloe Vera Gel 250g,9.5,4.75
Banana Boat Sport Sunscreen Pump SPF50+ 400g,28.0,14.0
Ocean Australia 100% Natural Body Sunscreen SPF50+ 120g,25.0,12.5
Bondi Sands Sunny Daze SPF50 Moisturiser 50g,23.0,11.5
Dermaveen Sensitive Sun Sunscreen SPF50+ 100g,17.0,8.5
Cancer Council Invisible Day Wear Facial Sunscreen SPF50+ 150mL,21.0,10.5
Cancer Council Mens Hydrating Sunscreen SPF50+ 100mL,17.5,8.75
Bondi Sands Fragrance Free Face Sunscreen SPF50+ 75mL,15.0,7.5
Quick Screen Sunscreen Spray SPF50+ 90mL,40.0,20.0
Sun Genius Hydrating Sunscreen SPF50+ 400mL,25.0,12.5
Neutrogena Ultra Sheer Sunscreen SPF50 88mL,20.0,10.0
Reef Coconut Sunscreen Oil SPF15 125mL,14.0,7.0
Hismile V34 Colour Corrector Teeth Whitening Serum 30mL,35.0,17.5
Pantene Shampoo or Conditioner 900mL,20.0,10.0
Epzen Body Wash 750mL,17.0,8.5
Twenty4 Body Mist 200mL,12.0,6.0
Colgate Sensitive Pro Relief Toothpaste 110g,11.0,5.5
Colgate Total Advanced Whitening & Tartar or Max Fresh Toothpaste 115g,6.5,3.25
Hismile Toothpaste Watermelon or Mango 60g,13.0,6.5
Colgate Toothbrush 360 Degree Toothbrush 1 Pack,5.0,2.5
Colgate Total Mouthwash 500mL,10.0,5.0
Nature's Way Adult Vita Gummies Multivitamin 120 Pack or Hair Skin Nails 60 Pack^,24.0,12.0
Nature's Way Beauty Collagen 120 Pack or Restore Probiotic Daily Health 90 Pack^,50.0,25.0
Nature's Way High Strength Magnesium 150 Pack^,24.0,12.0
Nature's Way Vitamin C 500mg Sugarless Chewable Tablets 500 Pack^,29.0,14.5
Nature's Way Glucosamine 1500mg Tablets 200 Pack^,40.0,20.0
Blackmores Probiotics+ Daily Health 30 Pack^,33.0,16.5
Glow Lab Shampoo or Conditioner 600mL,33.0,16.5
Toni & Guy Shampoo or Conditioner 250mL,19.0,9.5
Provoke Touch Of Silver Maintenance Shampoo or Conditioner 400mL,10.0,5.0
Veet Expert Hair Removal Wax Strips For Legs & Body 20 Pack,11.5,5.75
Biozet Attack Regular Laundry Liquid 2 Litre or Powder 2kg,24.0,12.0
Radiant Laundry Liquid 1 Litre or Powder 1kg,11.0,5.5
Morning Fresh Dishwashing Liquid 400mL,5.5,2.75
Finish Rinse and Shine Aid 500mL,11.5,5.75
Harpic Power Plus 700mL,10.0,5.0
Bref Toilet Rim Block Twin Pack 2x50g,11.0,5.5
Aerogard Body Insect Repellent 150g,12.0,6.0
Downy Unstopables In-Wash Scent Booster Beads 422g,31.0,15.5
Fluffy Concentrated Fabric Conditioner 900mL-1 Litre,9.0,4.5
MasterFoods Squeeze Tomato or Barbecue Sauce 475mL-500mL,1.6,6.0
Coles Classic Burgers 400g-500g,2.0,15.0
Yumi's Dip 200g,2.0,7.0
Peckish Fancies Rice Crackers 90g,3.0,2.0
Wicked Kalamata Olives 425g,5.0,4.0
Kettle Potato Chips 150g-165g,6.0,4.8
Coles Thawed Cooked Vannamei Prawns,20.0,18.0
OB Finest Crackers 150g,7.5,6.5
Hans Twiggy Sticks,35.6,22.0
Obela Garnished Dip 220g or Red Rock Deli Dip 135g,2.0,8.0
"Schweppes Mixers, Soft Drink or Mineral Water 1.1 Litre",1.6,4.0
Always Fresh Grissini Breadsticks or Crustini Crackers 120g-125g,4.5,3.15
Coles Australian Baby Cucumbers 250g or Red Perino Tomatoes 200g Pack,4.0,7.0
Coles Australian Roasted & Salted or Natural Macadamias 400g Pack,18.0,15.0
"Coles Kitchen Coleslaw, Potato or Pasta Salad 800g",7.0,6.0
Coles Finest Sausages 450g-500g,9.0,8.0
Coles Beef Eye Fillet Steak 450g,23.5,20.0
Coles Australian No Added Hormones Beef Rump Steak 500g,15.0,11.0
Coles Australian Lamb Boneless Shoulder Roast,17.0,15.0
Coles Australian Pork Sirloin Steak 500g,11.5,9.5
Coles Free Range RSPCA Approved Chicken Mango & Coconut,15.0,14.0
Coles Made Easy Chicken Breast Filled with Garlic Herb Butter Topped with Cheese Crumb 500g,13.0,12.0
Coles RSPCA Approved Whole Chicken Boneless Herb & Garlic 1kg,13.0,12.0
Coles RSPCA Approved Breast Fillets Large Pack,11.0,10.0
Coles RSPCA Approved Chicken Drumsticks Large Pack,4.5,4.0
Coles Australian Pork BBQ Ribs,20.0,17.0
Coles Australian Lamb Loin Chops,22.0,18.0
Coles RSPCA Approved Chicken Wing Nibbles,9.0,8.0
Coles RSPCA Approved Chicken Kebab Honey & Soy 375g,1.0,15.0
Coles Finest Burgers 300g,8.0,7.0
Coles Beef or Lamb Kebabs 450g,1.0,16.0
Coles Brand Pre-Packed Antipasto 110g-135g,1.5,9.0
Don Virginian Ham,28.0,22.0
Hans Milano Loin Ham,32.0,28.9
Primo Middle Bacon,17.0,14.5
Coles Australian Made Rindless Short Cut Bacon 200g,6.0,4.8
Tassal Smoked Salmon 250g,21.0,16.0
Coles Australian Thawed MSC Raw King Prawns,22.0,18.0
Coles Tasmanian Fresh Salmon Portions Skin On,42.0,36.0
Coles Hot Cross Buns 6 Pack or 9 Pack,2.0,7.0
Coles Donut Mind If I Do Assorted Donuts 2 Pack,6.5,5.8
Tip Top English Muffins 6 Pack,6.0,3.0
Coles Bakery Shortbread 12 Pack,4.5,3.5
Coles Finest by Laurent Sourdough Vienna or Cob,7.0,6.5
Coles Bakery Apple or Banoffee Turnover,5.0,4.5
"Coles Bakery Stone Baked By Turkish Loaf, Ciabatta Loaf or Sourdough Baguette",4.0,3.5
Simson's Better For You Wraps 210g-225g,5.5,4.4
"Arnott's Jatz Crackers 225g, Arnott's Shapes Crackers 130g-190g, Arnott's Cruskits Crispbread 125g, Arnott's Salada Crispbread 250g, Arnott's Cream Biscuits 200g-250g or Arnott's Vita-Weat Crispbread 250g",2.0,6.0
Mars Chocolate Bar 35g-56g,2.2,1.1
Lindt Cornet 327g-333g,26.0,13.0
Urban Cookie Co. Indulgent Cookies 200g,5.5,2.75
CC’s Corn Chips 175g or Cornados 110g,4.7,2.35
Majans Bhuja Mix 140g-160g,4.5,2.25
"Twisties, Burger Rings or Cheetos 80g-90g",1.4,4.0
Smith's Crinkle Cut or Double Crunch Potato Chips or Doritos Corn Chips 150g-170g,3.6,6.0
Red Rock Deli Potato Chips 150g-165g,4.6,8.0
Cadbury Dairy Milk Furry Friends 100g,3.5,2.8
"Darrell Lea Bullets, Twists, Balls or Liquorice 150g-280g",5.5,4.0
"The Natural Confectionery Co. 180g-230g, Sour Patch 190g or Pascall Candy 180g-300g",3.0,7.0
Mars Chocolate Fun Size 132g-192g or Skittles Fun Size 180g,3.0,8.0
Darrell Lea 160g-180g or Nestlé Block Chocolate 118g-200g,5.5,3.85
Cadbury Old Gold Block Chocolate 170g-180g or Cadbury Sharepacks 144g-180g,6.0,4.0
Table of Plenty Grazing Poppers 60g,4.5,2.25
V8 Juice 1.25 Litre,5.5,2.75
Raw C Coconut Water 1 Litre,5.5,2.75
"Pepsi, Solo or Sunkist Soft Drink 1.25L",3.0,1.8
"Coca-Cola, Fanta or Sprite Soft Drink or Mount Franklin Sparkling Water Cans 10x375mL",13.0,25.0
Frantelle Spring Water 24x600mL,18.4,11.0
Powerade Sports Drink or Active Water 600mL,2.7,5.3
"Coca-Cola, Fanta or Sprite Soft Drink 1.25 Litre",2.1,5.0
Red Bull Energy Drink 4x250mL,12.0,7.2
Remedy Sodaly 4x250mL,8.0,4.8
Monster Energy Drink 4x500mL,14.45,8.65
Kirks Soft Drink 1.25 Litre,2.5,1.5
