name,old_price,new_price
Coles Australian Made Rindless Short Cut Bacon 200g,6.0,4.8
Tassal Smoked Salmon 250g,21.0,16.0
Dairy Farmers Thick & Creamy Yoghurt 140g-150g,2.6,1.3
Chobani No Sugar Added Greek Yogurt 680g,6.8,5.4
Chobani Greek Yogurt 907g,7.9,6.3
Bulla Creamy Australian Style Yoghurt 160g,2.4,1.65
Yoplait Petit Miam Yoghurt Pouch 70g,1.1,0.85
Danone Ultimate Yoghurt 4x115g,5.75,4.0
Gippsland Dairy Mix-ins 140g,3.85,2.75
"Little Entertainers Mersey Valley, Tasmanian Heritage or South Cape Cheese 80g",2.4,12.0
Coles Gourmet Selection Cheese 150g-265g,2.01,13.0
Dare Flavoured Milk 500mL,3.9,3.1
Ice Break Flavoured Milk 750mL,4.8,3.8
Rokeby Farms Smoothie 425mL,4.65,3.6
