name,old_price,new_price
Nescafé Coffee Sachets 8 Pack-10 Pack,7.6,3.8
"Pepsi, Solo or Schweppes Soft Drink or Schweppes Sparkling Water 10x375mL",16.5,8.25
Coca-Cola Soft Drink 24x375mL,36.7,22.0
"Coca-Cola, Fanta or Sprite Soft Drink 12x300mL",19.0,9.5
"Schweppes Mixers, Soft Drink or Mineral Water 1.1 Litre",1.6,4.0
V8 Juice 1.25 Litre,5.5,2.75
Raw C Coconut Water 1 Litre,5.5,2.75
"Pepsi, Solo or Sunkist Soft Drink 1.25L",3.0,1.8
"Coca-Cola, Fanta or Sprite Soft Drink or Mount Franklin Sparkling Water Cans 10x375mL",13.0,25.0
Frantelle Spring Water 24x600mL,18.4,11.0
Powerade Sports Drink or Active Water 600mL,2.7,5.3
"Coca-Cola, Fanta or Sprite Soft Drink 1.25 Litre",2.1,5.0
Red Bull Energy Drink 4x250mL,12.0,7.2
Remedy Sodaly 4x250mL,8.0,4.8
Monster Energy Drink 4x500mL,14.45,8.65
Kirks Soft Drink 1.25 Litre,2.5,1.5
Jarrah Latte 250g,7.5,3.75
Vittoria Freeze Dried Instant Coffee 400g,36.0,18.0
Lavazza A Modo Mio Coffee Capsules 16 Pack,12.5,8.4
Jed's Coffee Beans 1kg,36.0,24.0
Moccona Specialty Blend Coffee 200g,20.5,13.5
Vittoria Nespresso Compatible Coffee Capsules 10 Pack,7.5,4.5
Nescafé Blend 43 500g,26.0,18.0
Lavazza Qualita Oro Coffee Beans or Ground 1kg,38.0,26.6
Nescafé Gold 400g,28.0,19.0
Twinings Tea Bags 80 Pack-100 Pack,13.5,9.5
Nestlé Milo 1kg,15.5,12.0
Vittoria Coffee Bags 20 Pack,12.5,6.25
