name,old_price,new_price
KB's Salt and Pepper Squid 360g or Whiting Bites 300g,10.5,5.25
Zooper Dooper Water Ice 24 Pack,7.0,3.5
Peters Connoisseur 1 Litre,12.0,9.0
Peters Connoisseur Multi Pack 4 Pack 350mL-456mL,9.5,7.0
Häagen-Dazs Tubs 420mL-457mL,13.5,9.0
Weis 1 Litre Tub,10.0,7.0
Sara Lee Tubs 1 Litre,12.0,8.5
Denada Tubs 475mL,11.5,9.0
Weis 4 Pack 280mL,9.5,4.75
Creative Gourmet Frozen Fruits 300g-500g,5.0,2.5
Coles Finest Goats Cheese Polenta Chips or Coles Finest Truffled Potato Croquettes 200g,2.0,12.0
I&J Raw Prawns Tail On or Off 500g,24.0,18.0
Four 'N Twenty Angus Beef Pies 4 Pack 700g,12.0,9.6
KB's Gyoza 750g,17.0,13.6
Family Fave's Chicken Tenders or Chips 1kg,21.5,10.0
On The Menu Big Feast Meal 480g,8.0,6.4
Coles Meals 375g,1.05,9.9
Coles Frozen Perform Meal 330g-340g,3.0,16.0
On The Menu Plated Meal 320g,7.0,5.6
Fropro Protein Pizza Slices 2 Pack 360g,12.95,9.95
Patties Party Pack 30 Pieces 1.25kg,18.0,14.4
Gourmet Table Arancini 200g,7.5,5.5
Chan's Yum Cha Dim Sum Selection 230g,7.5,5.5
Birds Eye Deli Chips 600g,6.0,4.8
Pacific West Cocktail Spring Rolls 1kg,12.5,7.5
Coles Frozen Entertaining Snacks 200g-330g,1.05,13.95
Streets Viennetta 650mL,8.0,6.0
