name,old_price,new_price
Pringles Potato Crisps 118g-134g,5.5,2.75
KB's Salt and Pepper Squid 360g or Whiting Bites 300g,10.5,5.25
Zooper Dooper Water Ice 24 Pack,7.0,3.5
Nivea Sun Protect & Moisture Sunscreen SPF50+ 300mL-400mL^,26.0,13.0
Cancer Council Kids or Ultra Sunscreen SPF50+ 250mL^,21.0,10.5
Bondi Sands Wet Skin Sport Sunscreen SPF50 125mL^,18.0,9.0
Nescafé Coffee Sachets 8 Pack-10 Pack,7.6,3.8
Dynamo Professional Laundry Liquid 2 Litre,29.0,14.5
Cheezels 125g,3.25,1.62
"Pepsi, Solo or Schweppes Soft Drink or Schweppes Sparkling Water 10x375mL",16.5,8.25
"Coca-Cola, Fanta or Sprite Soft Drink 12x300mL",19.0,9.5
Banana Boat Pure Aloe Vera Gel 250g,9.5,4.75
Banana Boat Sport Sunscreen Pump SPF50+ 400g,28.0,14.0
Ocean Australia 100% Natural Body Sunscreen SPF50+ 120g,25.0,12.5
Bondi Sands Sunny Daze SPF50 Moisturiser 50g,23.0,11.5
Dermaveen Sensitive Sun Sunscreen SPF50+ 100g,17.0,8.5
Cancer Council Invisible Day Wear Facial Sunscreen SPF50+ 150mL,21.0,10.5
Cancer Council Mens Hydrating Sunscreen SPF50+ 100mL,17.5,8.75
Bondi Sands Fragrance Free Face Sunscreen SPF50+ 75mL,15.0,7.5
Quick Screen Sunscreen Spray SPF50+ 90mL,40.0,20.0
Sun Genius Hydrating Sunscreen SPF50+ 400mL,25.0,12.5
Neutrogena Ultra Sheer Sunscreen SPF50 88mL,20.0,10.0
Reef Coconut Sunscreen Oil SPF15 125mL,14.0,7.0
Hismile V34 Colour Corrector Teeth Whitening Serum 30mL,35.0,17.5
Pantene Shampoo or Conditioner 900mL,20.0,10.0
Epzen Body Wash 750mL,17.0,8.5
Twenty4 Body Mist 200mL,12.0,6.0
Colgate Sensitive Pro Relief Toothpaste 110g,11.0,5.5
Colgate Total Advanced Whitening & Tartar or Max Fresh Toothpaste 115g,6.5,3.25
Hismile Toothpaste Watermelon or Mango 60g,13.0,6.5
Colgate Toothbrush 360 Degree Toothbrush 1 Pack,5.0,2.5
Colgate Total Mouthwash 500mL,10.0,5.0
Nature's Way Adult Vita Gummies Multivitamin 120 Pack or Hair Skin Nails 60 Pack^,24.0,12.0
Nature's Way Beauty Collagen 120 Pack or Restore Probiotic Daily Health 90 Pack^,50.0,25.0
Nature's Way High Strength Magnesium 150 Pack^,24.0,12.0
Nature's Way Vitamin C 500mg Sugarless Chewable Tablets 500 Pack^,29.0,14.5
Nature's Way Glucosamine 1500mg Tablets 200 Pack^,40.0,20.0
Blackmores Probiotics+ Daily Health 30 Pack^,33.0,16.5
Glow Lab Shampoo or Conditioner 600mL,33.0,16.5
Toni & Guy Shampoo or Conditioner 250mL,19.0,9.5
Provoke Touch Of Silver Maintenance Shampoo or Conditioner 400mL,10.0,5.0
Veet Expert Hair Removal Wax Strips For Legs & Body 20 Pack,11.5,5.75
Biozet Attack Regular Laundry Liquid 2 Litre or Powder 2kg,24.0,12.0
Radiant Laundry Liquid 1 Litre or Powder 1kg,11.0,5.5
Morning Fresh Dishwashing Liquid 400mL,5.5,2.75
Finish Rinse and Shine Aid 500mL,11.5,5.75
Harpic Power Plus 700mL,10.0,5.0
Bref Toilet Rim Block Twin Pack 2x50g,11.0,5.5
Aerogard Body Insect Repellent 150g,12.0,6.0
Downy Unstopables In-Wash Scent Booster Beads 422g,31.0,15.5
