name,old_price,new_price
Nivea Sun Protect & Moisture Sunscreen SPF50+ 300mL-400mL^,26.0,13.0
Cancer Council Kids or Ultra Sunscreen SPF50+ 250mL^,21.0,10.5
Bondi Sands Wet Skin Sport Sunscreen SPF50 125mL^,18.0,9.0
Banana Boat Pure Aloe Vera Gel 250g,9.5,4.75
Banana Boat Sport Sunscreen Pump SPF50+ 400g,28.0,14.0
Ocean Australia 100% Natural Body Sunscreen SPF50+ 120g,25.0,12.5
Bondi Sands Sunny Daze SPF50 Moisturiser 50g,23.0,11.5
Dermaveen Sensitive Sun Sunscreen SPF50+ 100g,17.0,8.5
Cancer Council Invisible Day Wear Facial Sunscreen SPF50+ 150mL,21.0,10.5
Cancer Council Mens Hydrating Sunscreen SPF50+ 100mL,17.5,8.75
Bondi Sands Fragrance Free Face Sunscreen SPF50+ 75mL,15.0,7.5
Quick Screen Sunscreen Spray SPF50+ 90mL,40.0,20.0
Sun Genius Hydrating Sunscreen SPF50+ 400mL,25.0,12.5
Neutrogena Ultra Sheer Sunscreen SPF50 88mL,20.0,10.0
Reef Coconut Sunscreen Oil SPF15 125mL,14.0,7.0
Hismile V34 Colour Corrector Teeth Whitening Serum 30mL,35.0,17.5
Pantene Shampoo or Conditioner 900mL,20.0,10.0
Epzen Body Wash 750mL,17.0,8.5
Twenty4 Body Mist 200mL,12.0,6.0
Colgate Sensitive Pro Relief Toothpaste 110g,11.0,5.5
Colgate Total Advanced Whitening & Tartar or Max Fresh Toothpaste 115g,6.5,3.25
Hismile Toothpaste Watermelon or Mango 60g,13.0,6.5
Colgate Toothbrush 360 Degree Toothbrush 1 Pack,5.0,2.5
Colgate Total Mouthwash 500mL,10.0,5.0
Glow Lab Shampoo or Conditioner 600mL,33.0,16.5
Toni & Guy Shampoo or Conditioner 250mL,19.0,9.5
Provoke Touch Of Silver Maintenance Shampoo or Conditioner 400mL,10.0,5.0
Veet Expert Hair Removal Wax Strips For Legs & Body 20 Pack,11.5,5.75
U By Kotex Sport or Designer Liners 30 Pack,4.2,2.9
U by Kotex Tampons Regular or Super 16 Pack,5.0,3.5
U By Kotex Ultra Thin Pads Regular with Wings 14 Pack or Super with Wings 12 Pack,5.0,3.5
QV Baby Gentle Wash 500mL,20.0,14.0
Tena Liners Standard Length 30 Pack or Extra Long 24 Pack,5.5,4.4
Bosisto's Body Wash Pump 1 Litre,16.0,8.0
Bosistos Hand Wash Refill 1 Litre,15.0,7.5
Lynx Antiperspirant Aerosol Deodorant or Body Spray 165mL,8.0,5.6
Nivea Antiperspirant Aerosol Deodorant 250mL,8.5,5.1
Maui Hair Mask Shea Butter 340g,27.0,16.0
Palmolive Body Wash 1 Litre,10.0,6.0
Olay Luminous Hyaluron + Niacinamide Gel Serum 30mL or Moisturiser 50g,60.0,36.0
Nivea Q10 Anti-Wrinkle Extra Nourish Day SPF15 or Night Cream 50mL,30.0,18.0
Brut Human 72Hr Antiperspirant Aerosol Deodorant 130g,9.0,4.5
Brut 72Hr Antiperspirant Aerosol Deodorant 130g,8.5,4.25
Quilton Toilet Tissue 3 Ply 6 Pack,6.5,4.55
