name,old_price,new_price
Duracell Coppertop Batteries AAA 20 Pack or AA 24 Pack,29.0,14.5
Bic Kids Evolution Colouring Pencils 36 Pack,15.0,10.5
Optus X Max,179.0,149.0
moto e13,149.0,129.0
Optus X Tap 2,149.0,129.0
OPPO A58,249.0,229.0
Optus Portable Modem,99.0,79.0
Optus $45 Prepaid SIM Starter Pack,45.0,20.0
Coles Mobile $200 SIM,200.0,169.0
Telstra Samsung Galaxy A14,249.0,199.0
Telstra Oppo A38,229.0,199.0
Telstra Nokia G11 Plus,229.0,149.0
Telstra Lite 3,59.0,29.0
Telstra Essential Smart 2.1,79.0,49.0
Telstra Essential 2,99.0,49.0
Motorola Moto E13,149.0,79.0
Nokia C30,149.0,99.0
Telstra Pre-Paid 4GX Wi-Fi Plus,79.0,39.0
Telstra $35 SIM Kit,35.0,17.0
Belong $35 Starter Pack,35.0,17.0
Vodafone $30 Prepaid Plus Starter Pack,30.0,10.0
Vodafone $50 Prepaid Plus Starter Pack,50.0,20.0
Vodafone V Lite 4G,99.0,69.0
Lebara $24.90 Starter Pack,24.9,6.0
Nokia 110 4G,69.0,39.0
Vodafone V Smart 4G,129.0,79.0
